,Unnamed: 0,question_text,topics,answer_text,q_token_count,a_token_count,a_text_length,tf_type_zero_shot,tf_score
163,204,i have twin toddlers i experienced a death of loved one prior to giving birth i had a horrible break up with the father people told him he was using me for money my exboyfriend had extreme meltdowns every day for three years im always alone with no friends,depression,first let me say that you are a survivor and a warrior managing  child by yourself is difficult but twins is a whole different ballgame anxiety can affect us at any time anywhere this is the challenge especially when we have so many things to manage each day there are several methods and practices that help manage and even reduce symptoms of anxiety it will depend on what works best for you talk with friends a counselor or a loved one who can offer you support and feedback as you navigate this process of learning what works for you when all else fails make sure you are in a safe place pause for a deep cleansing breath in a long exhale out and ask yourself what do i want in this moment now you can begin again,1,1,717,F,0.9508963227272034
165,1340,i have been with my husband for almost  years we got engaged a little after  years of being together i had always been clear that i wanted to get married and i sadly would drop hints about how i wanted him to propose  when he did propose it was during a random vacation that i had planned i was happy but i couldnt help feeling disappointed too i had told him numerous times before that i wanted him to do it in front of my friends and family i know it sounds dumb to be upset but i couldnt help how i was feeling we are now married but the wedding and ring were also far from what i wanted and it wasnt due to lack of funds i know this is all material and the marriage is the most important thing but i cant help but get jealous and envious every time i see someone get a proposal or wedding that i had wanted i cant help my anger because i know we only get one proposal and one wedding what i wanted will never happen i have been working on my feelings for the past year and half to get over it i try to focus on our marriage but every time i see someone have the best proposals and weddings i get upset i know it is selfish and i know its petty but i just cant control it its ruining our relationship because i constantly think about it plus i get mad at him for small things because i am trying to hide the fact that i am so disappointed  why cant i move on,marriage,its hard to let go of the dreams you had regarding your wedding and engagement this was something that you and most women think about for years so its understandable to be disappointed but please be aware that it is rare that any wedding is perfect you may envy your friends weddings but more than likely they had a few mishaps of their own andor it wasnt as perfect as they had planned it either however like you know the marriage is the most important thing how many women are envious that you are in a happy stable relationship i assure you that there are plenty try to live in the present considering that dwelling on the past can still not change how you were proposed to or how your wedding day transpired focus on what you can control now perhaps you can plan an extravagant renewal of your vows or change the look of your ringi would also be upfront with your husband and explain why youve been short lately but after that close that chapter and move on it sounds like you have a wonderful companion and you certainly dont want to lose this due to a situation that is impossible to change,1,1,1096,F,0.7340060472488403
166,1577,i never get infections or scars or anything and it doesnt bother me if it gets filled up with blood or something but im concerned,behavioralchange,hi houston the fact that youre concerned says a lot if i was your therapist id ask you questions about your worries and how this is causing a problem in your life youre causing perhaps permanent changes damage to your body and its likely youre trying to express somethingpain maybe a therapist can help you to explore whats going on for you and how to get your needs for selfexpression met in a more healthy way good luck,1,1,421,F,0.8637106418609619
168,951,every time my partner gets angry for anything she takes it out on me nothing i do is right and once shes mad she calls me all kinds of names and is verbally abusive she says it isnt abuse its just angry verbal bashing and that its different it gets worse each time the names are very vulgar now,domesticviolence,ultimately it is only your partner who can decide whether to stop name calling or noti would take very seriously that she doesnt show any willingness to hear and understand your point of viewin a relationship in which one person claims the right to verbally abuse the other there isnt much genuine care and trust going on at allit is never safe to open your heart to her since you cant tell in advance if youll be treated with kindness or bashingthink seriously how possible it is for you to enjoy your relationship if your partner is unwilling to accommodate your feelingsif the two of you are unable to agree on terms or discuss the problem as a mutual one not just your problem then you may wish to withdraw from the relationship,1,1,732,F,0.7468096017837524
169,282,ive been feeling worthless unaccomplished and so frustrated i want to break things hit myself run away kick scream and cry i just want to be happy and outgoing again i want to be able to take care of my daughter and live comfortably,depression,philadelphia there is help out there for your daughters sake start somewhere feelings are only that your worst fears about who you are are only based on a few moments that havent gone well depression is so treatable but you have to seek treatment from a professionalheres a quick exercise for you to do that can show you how therapy might work fear is telling you the worst possible story of your life right so if there was an opposite storythe very best story that someone could tell about you and your lifewhat would that be who would be telling it someone who loves you someone who was around you when you were that outgoing person someone whos been watching your life from the start god write that best story i dare you to give it as much credibility as the worst one therapy is often about helping people reject their worst stories i invite you to start exploring with a qualified therapist whatever barriers stand between you and your best life i hope you reach out soon ,1,1,977,F,0.7829705476760864
170,1369,i feel so alone i have so many people around me but it seems as they just listen and dont understand they say it will all be okay or they dont listen to me st all everyone says they are here for me but it doesnt feel like they are why do i feel so alone,relationships,you are valid do you have anyone in your life you feel you can trust and feel uplifted when you are around them  sometimes e have to create our own tribe soul family of people who fill our cup leading us to feel good about life and ourselves also filling our own cup with knowing we are valid worthy enough  the people in your life now may not be the ones who can do that for you but there are people who can it is a matter of seeking them out and finding them also in the meantime fill your own cup with the love acceptance belonging and validation you seek  i wanted to share this videoi am enough  guided meditation,1,1,618,F,0.9721742272377014
171,959,ive been with my boyfriend over  years he cheated on me and the woman is now pregnant he is physically and mentally abusive towards me i have attempted to talk with him in order to resolve our issues however he never wants to talk and often blames me for everything im always there when he needs my help he tells me although i help him doesnt mean that i am a good person he always discredits me as a woman and its hurtful i spend most day crying and feeling lonely i am unhappy and unsure of what i need to do,domesticviolence,that sounds like a very hurtful situation unfortunately without a batterers intervention course or a desire to change the abuse cycle is unlikely to stop i do not recommend that you try to leave on your own due that being the most dangerous time when in an abusive relationship as an abuser his goal is to control you whether its through mental or verbal means i recommend that you contact a domestic violence shelter in your area i have worked closely with harbor house of central florida and know they provide housing transportation and any other needed resources to women leaving an abusive relationship there is help out there and you are not alone if you need any additional resources in your area please dont hesitate to contact me,1,1,737,F,0.8625316023826599
172,1333,i love him but he doesnt show me love he talks badly about me to his friends,marriage,so many questions comes to mind when i read your wordsdo you love yourself  what do you love about him  what are you getting from this relationship that is good for you  what are you lacking in yourself that you allow yourself to be treated this wayi can go onif you can answer these questions maybe you will answer your own question of why are you with your husband or even better why you allow your husband to be mean show no love disrespect you  you seem to lack selfworthseek a professional to help you with this,1,1,516,F,0.9646540880203248
173,1026,"for some reason i feel very uncomfortable with my girlfriend showing off her body in certain poses on social media i know she is proud of her body and i respect that but i dont feel comfortable with her openly showing off her body the way she does
   anytime i bring it up to her she thinks im calling her a whore how can i deal with my girlfriend showing off her body on social media and not hurt her feelings",intimacy,ask her to consider your feelings not only her own defensiveness that she is called a whore by youclearly since youre writing on a site which offers psychological and emotional support and guidance you do not consider your gf to be a whoreshe may not realize or considered that you are somewhat protective of who sees her body   in the end she may not want the privacy over her body which you are encouraging her to haveat least you will have the satisfaction to know you stated your actual reasons for your request and did not rely on the ones she imagined you have,1,1,566,F,0.9697664380073548
175,1542,one moment im happy and then a tiny thing happens and i feel so hurt and awful that i cant handle anything i cry and cry then next morning im happy im so confused,behavioralchange,probably there are deeper more delicate topics beneath the surfaceif people dont address their pain despair shame fears and instead store them up eventually the pile up leads to the situation you describegive yourself the time to reflect on who you are your priorities values people who may have injured your feelings in the pastthe greater your selfunderstanding becomes the less likely some small insignificant matter has the chance to topple the house of cards,1,1,463,F,0.7314450740814209
176,1158,"ive been with my husband for eight years now we have split twice before and the first time was because he cheated i took him back months later and he really tried making it up to me by making a lot of changes however we continued to have issues because of my lack of trust my insecurities and trust issues lead to physical abuse which lead to us separating again during that separation he consoled himself by talking to the same girl he cheated on me with but we then ended up back together and worked it out for a while until i got pregnant with our second child
   the baby was a few months old and he confessed to me about his secret relationship with her he told me how he could never stop talking to her and how during our issues she has been and is the only women hes gone behind my back with but on a friendship level because shes miles away he confessed how he fought feelings for her and feels like hes possibly in love with her too he said he feels like hes in love with the both of us now because this women has fallen for him and she hasnt been able to leave him alone since even though she knows that hes still with me and happy with our family she cant help it and he confessed how his feeling for her are mutual being that he loves me too he wanted to be with the both of us at the same time he wanted to have affairs with her behind my back by flying her out and staying at a hotels but he didnt want me to find out so he told me everything he said he didnt want to continue to lie to me and so i can finally stop accusing him of being with other women when its only been this one girl the whole time he feels like my insecurities and trust issues are what pushed him closer towards her and that no matter what he did to do right i would still accuse him hes caught up in his feelings and pretty much says that he wants her but doesnt want me to leave him because im the one he wants to be with for the rest of his life
   im of course hurt and in shock i feel like i have to make a decision on whether i want to allow it and deal with having to share him or walk away both of these decisions are really hard to make because i feel like whether i stay or go my heart will still be torn apart i have to make a decision quick because she will be flying out sooner than i thought",intimacy,hi jayuya im struggling in this moment with my own biases i have biases that are about respect and every individuals need for and right to respect your husband lies cheats and physically hurts you he makes excuses and blames you for these behaviours and trains you to do the same he demonstrates many controlling and abusive behaviours and now in an attempt to manipulate and silence you he wants to have his cake and eat it too and suggests you should share him there arent many crumbs of this cake left for you are thereso my biases about respect dont make me want to rescue you or tell you what to do i cant do that and i dont think either of those things will help you id like to ask you some questions thoughare you happy do you know what happy is do you know what respect is are your children safe are your children witnessing violence because if they are then theyre not safe do you have supports do your family and friends know whats happening in your life have you ever been to a womens shelter are you willing to sit down in an office with a professional who can help you think clearly thats what i suggest these are big decisions you deserve some support i wish you the best,1,1,1185,F,0.790605366230011
177,1295,i keep being mean to my best friend and i dont know why all the time i did come to maybe some kind of conclusion that it is because my mother is mean to me all the time could that be a cause,familyconflict,hi morristowntheres a saying that goes hurt people hurt people its possible that your aggression towards your friends is connected to your mothers behaviours when we are treated poorly especially as children it affects how we ourselves others and the world its also powerful modelling of aggressive behaviour the good news is that you have this lovely awareness and i think a desire to learn about yourself and grow in your ability to be respectful to people you care about i recommend you consider sitting down with a therapist and exploring these ideas and moving forward on that path you seem to want to be on good luck,1,1,622,F,0.7459355592727661
178,1903,"i am married to a beautiful lady i love my wife with all my heart we have  boys and i have a daughter from a previous marriage we also have  grandchildren
now this event is tearing us apart i want our family to be together and happy it was a mistake from so long ago my wife wants to leave and i dont want that to happen i love her so much please help me save my marriage even my  boys want us to work it out they love us both and want our family together please give me some advice or hope sincerely heart broken",family conflictmarriage,if your wife is willing seek out a qualified couples therapist look for one trained in the gottman method or emotionally focused therapy your relationship is repairable but you may need some qualified support in the process,1,1,223,F,0.961239218711853
179,982,i been having anger problems a lot lately it only takes one word wrongly said to set me off i use to not be like this until i got with my soontobe husband i think his mood and rageanger problems have rubbed off on me a lot i dont get nearly as bad as he does but i yell almost constantly and i cant seem to just stop i have two young babies that have to hear this and i dont want my girls growing up with a mommy like i have been lately i just dont know how to get back to my old self,angermanagement,with me knowing that a healthy relationship usually includes respect trust appreciation companionship spiritual solidarity domestic support feeling of being cherished and  sensuous affection i am wondering if you are lacking in several if not all of these needs in your present relationship  before he becomes your husband you should examine these areas and see if they are high in rating  otherwise yes this relationship will affect your girls and you negatively  i would suggest relationship counseling specifically premarital  not be surprised if through the process you realize that this relationship is not the best choice for you and your children,1,1,653,F,0.9061460494995116
180,1589,i think i have depression anxiety bipolar disorder and i have anger issues i told my mom over and over again she told me she would get me a therapist but she never did i just found out that my mom cant afford a therapist for me,legalregulatory,it can be difficult to get counseling if you dont feel supported by family members  there might be a few options  if you are in school id recommend talking to a school counselor or school nurse  they often will be able to help you access free or affordable counseling resources in your community  in addition depending on where you live its also often possible to call  for referrals to free or low cost counseling services in your areaid encourage you not to give up you are on the right track,1,1,494,F,0.921337902545929
182,1268,i have a mother who is still running my life even though im almost  years old i want to move out and live my own life but it feels like as long as i do what my mom wants our relationship is okay its never okay if i dont do what she wants    i dont know how to start making my own decisions and not worry about whether its right in her eyes would it help for me to talk to someone about this,familyconflict,if the only way the relationship you have with your mother feels okay is when she is the only one who makes decisions concerning your life then this only seems okin fact it is not okay for one person to be the authority for another person unless the one for whom this is being done does not have their own ability to think for themselvesseparating your own wishes and way of handling life matters from your mothers point of view may be difficultfirst realize you need to get familiar with feeling at ease with the idea of deciding matters for yourselfyoull need practice until you feel comfortableunless if youve been thinking through decisions youd like to make and the idea of your mothers anger is the only point which stopped you then you may almost instantly start living in a liberated way of running your own lifebasically it is right and fair for you to have the chance to live your life the way you feel is best   be prepared that your mother may disagree with you and that her disagreement is not a reason itself to not do what you believe is in your best interest,1,1,1074,F,0.5060620307922363
183,732,im in my early s ive been married once and he cheated on me ever since then ive felt ugly no matter what im engaged and i still feel ugly i dont like to take pictures of myself,selfesteem,sounds as though youre taking the blame for the bad actions of your former husbandhe did an ugly action and instead of feeling only your own emotions in response to being cheated on you are holding his ugly behavior within you and feeling itdoes this sound like a possible explanation of why your feeling of ugliness started after the cheating incidentyou may start feeling better by looking within your own heart for the full effects of having been hurt  it is possible there is more suffering within you than youve realized until nowas you address all the emotional pain youve lived through the feeling of ugliness may drop out all of its own because youd be focused on you not on any of the ugliness introduced into your life by your cheating ex husband,1,1,756,F,0.5633735060691833
184,1303,she treats me like im not in her presence shes always yelling at me for no reason she gives more respect to my brothers than me but only my brothers fight her while i respect her,familyconflict,attention is not equal to love and being valued it may be precisely because your brothers demand so much more your moms attention through fighting with her that she pays more attention to them it is a common situation in families where the squeaky wheel gets the grease and the siblings or family members who dont demand as much attention end up feeling invisible it sucks to feel invisible and it is important that there is attention for you and that you know how much your mom loves and values you  this sounds like an important conversation to have with your mom and if she is not able to really understand or help you address this concern you may want to suggest doing some family therapy where a skilled therapist can help you and your family work this out,1,1,761,F,0.9395183324813844
186,817,"i am in a high stress position for a tech company i am being overworked and underpaid for my contributions and it is not only giving me anxiety but also demoralizing
   what can i do to manage my stress",workplacerelationships,i am curious what makes you stay sometimes managing stress is only a band aid to a bigger problem when you ask yourself what your life would look like without this stress what do you see we can easily talk about coping strategies for stress mindfulness deep breathing meditation journaling exercising etc all of which may be things to help manage your stress hearing your sentiments above i am being overworked and underpaid for my contributions i wonder if the stress is more resentment and if managing is really the solution,1,1,526,F,0.910656213760376
187,1284,any time my family and friends are in an altercation im the one who steps in im the one they call to fight for them i do this even though i have a tough time trusting the people im fighting for im only in my early s,familyconflict,you could be protective because of things that happened in your past or in the past of the people that you are protecting a lot of us have natural instincts that we do not want other people to be in pain for other people conflict is just hard to watch andor listen toas for having a tough time trusting them that could also relate to past events between you and these other people or it could relate to the conflict that you mentioned it can be difficult to trust someone deeply when you dont know when the next big fight or argument is going to startthe next time you step in for someone consider asking yourself what is making you do that what are you feeling in the moment,1,1,675,F,0.9419679641723632
188,91,"i had a very troubled up bringing and im currently dealing with alot right now i know some people may not think so but to me its a lot i feel overwhelmed could this be depression
   i use to be in therapy as a child alll throughout elementry middle and high school i had counseling  times a week i havent be in counseling lately though",depression,what matters most is how you feel and what youre doing with whom youre interacting whether you feel youve got enough interaction to be happywhether or not a clinician would decide to identify you as depressed matters much less than how you actually are feeling if you have some ideas as to what might improve your sense of being and how to go about reaching your goalsif therapy during your childhood made you feel better and you feel you may be depressed then trying therapy at this point in your life makes sensethe worst that can happen is you find you feel better than you first understoodthe best that can happen is you find a caring therapist who helps you find faith in yourself again,1,1,691,F,0.920485496520996
189,1012,"my husband has had issues with alcohol addiction in the past hed never admit to this a while back  years ago i asked him to stop drinking so much and he agreed i caught him one night drinking behind my back i confronted him and he lied but i told him i knew he was lying because i counted the beers in the fridge and four of them were missing he admitted and apologized and promised he wouldnt do it again lately my husband has been drinking on and off but i noticed it was every single night i didnt like this for our new years resolution we decided we were going to limit our alcohol consumption he was on boardno more drinking every night
 the other night i counted the beers in the fridge just to see if some were missing it took a couple of days but tonight i discovered a few were missing along with a shot of vodka he was passed out on the couch when i decided to wake him up and confront him poor timing but i couldnt wait i asked him if hed come to bed with me when he drinks he snores and i cannot sleepits a dead giveaway hes been drinking he slurred a bit and said no i asked if he had been drinking but he snapped and said no i went into our room to sleep leaving him on the couch  im not sure if im overreacting or not i just feel like im so honest with him about everything and i expect the same honesty he is a good husband in every other regard",intimacy,as exasperated as you feel and as obvious it is to you that your husband cares more about drinking than being honest with you changing this is up to himdoes he care that youre upset with him for drinking more than he can handledoes he care about you more than drinkingliving with an alcoholic which is how his behavior sounds is lonely and frustratingconcentrate on what you like about him as he is now with his drinkingyour happiness matters  his ignoring of what youre talking about doesnt mean your requests are unreasonablebe prepared to learn to live with and accept how he behaves or notavoid the expectation that you can convince him to changepeople change only when they realize their life can improve by changing  he doesnt sound like this at least now,1,1,761,F,0.8993136882781982
191,919,my boyfriend is seeking therapy he is in his s and has some childhood issues he has kids from his previous exwife and is unable to see them,trauma,probably the more important questions to answer concern how much confidence you have in you and your boyfriend becoming parents how you each feel about the influence of his being banned from seeing his current children and be clear about the circumstances that led up to the decision of him not being permitted to see his kidsdont allow some random professional to pronounce your boyfriend as cured  a relatively qualified therapist would never make this callpsychological and emotional tensions emerge from our relationships within families  you and your boyfriend are in a position to set a strong foundation for having children assuming each of you wants childrenchildhood issues your boyfriends anyones are more likely to go away when new patterns of interacting emergeif the two of you are engaged in setting a secure relationship as future parents the disappointments and hurt from the very early years will be replaced by better ways of interacting,1,1,955,F,0.880439043045044
192,306,im going through a divorce with my wife of three years who ive known since the th grade and been involved with for seven years we just had a baby seven months ago and never got along with my mother who ive lived with for years i am now back with my mother because i have nowhere to go with this divorce looming im heart broken because i fell into a depression i havent seen my child in a while im having good and bad dreams and i feel hated can you help can you intervene can i speak with someone,depression,its hard to accept the end of a marriage when its not your choice you feel powerless abandoned and unwanted your wife has the right to decide not to be in a marriage with you and a therapist can help you accept and move through this change that has broken your heart and left you lost you dont indicate why you havent seen your child and you may want to consult with a lawyer about the laws in your area and how to gain access to your baby therapists dont intervene in these ways the marriage may be ending but your role as a loving father is only beginning  you can focus on giving your child the gift of two parents who respect each other,1,1,640,F,0.982115924358368
193,996,sometimes  times a night,sleepimprovement,perhaps more dreaming means that you are making use of your mind to solve problems  i find that change states while sometimes difficult are very exciting  they give you opportunity to grow more rapidly  so i say congratulations  mark wwwmarkmorrislcswcom and wwwlivingyesorg,1,1,274,F,0.7061337232589722
197,802,my fiancé and i broke up he cheated on me numerous times i kept forgiving but questioning his every move he got tired and left,relationshipdissolution,cheating on you shows a lack of commitment in addition to the emotional hurt it createsprobably you didnt actually forgive him because if you did then you wouldnt have been asking questions of his every movemaybe you were open to forgiving him   in order for forgiveness to be effective the person who has done the injuring must first show some understanding and empathy for the great pain the person caused in youfrom what you write your fiancé didnt seem to have much interest in earning back your trust or in empathizing with the way his cheating effected youit is very likely his tiredness is also tiredness you feel of having to watch him all the timeas uncomfortable as adjusting with the disappointment of him leaving you the situation you describe sounds like it was unsatisfying for both of you,1,1,803,F,0.6425708532333374
198,78,my mother is combative with me when i say i dont want to talk with her about my depression    she hasnt been supportive of me in the past and she isnt someone that i feel comfortable opening up to she constantly tries to instigate conversations where she asks me questions that i dont want to or cant answer i tell her i dont want to talk and she starts arguments with me    how can i get her to understand,depression,do you live with your mom and have constant interaction with her  it is your choice who you share things with  you can set some clear boundaries  she can either talk about the interest you feel comfortable or you can reduce eliminate conversations with her  these arguments are most likely not good for your depression  here is a video regarding boundaries  boundaries,1,1,368,F,0.5121480226516724
201,934,i have family issues and my dad was both violent and a cheater,trauma,sorry that your growing up years in the family were so unsafe and painfuleveryone has family legacy patterns of behavior and ways of handling emotions handed down to them simply by livingall of what any child observes and how they are treated within their family context creates their foundational expectations of othersthe best way of releasing yourself form hurtful interaction patterns is by being aware of your own feelings and intuition within close relationshipsif you have a similar sense of hurt or that something is wrong yet in a familiar way then most likely you are in a relational pattern similar to the negative ones in your family of originthis realization moment is your chance to more deeply see your own original trauma and try different ways of responding to these similar key situationsthis type of work takes a lot of repeated effort because trauma is deep and childhood trauma is attached to loving ones parentsexpect slow progress and expect more than a few tearsif it feels overwhelming then a therapist for guidance and support would be very beneficial to the work youd be doing within yourselfsending lots of good luck,1,1,1144,F,0.9683947563171388
202,1440,when i ask him who he is talking to he tells me no one but it sounds like he is holding a conversation with someone i have even accused him of having a secret cell phone i ask so much i feel like i am losing it is he trying to make me question my sanity or is he talking to himself,relationships,a rare topic  likely extremely troublesome for you i would need to have more background information on the two of you before beginning to offer any insight feel free to email mei would also like to add that aside from the reality of whether or not these conversations are actually occurring as your partner he should be just as concerned about something that is disturbing you to this level  partners need each others trust and support no matter who is right or wrong,1,1,467,F,0.9336468577384948
203,493,sometimes im fine and can go out or meet people but other days my heart races and words physically cannot come out of my mouth ive always thought it was normal and i was just nervous but the other day it took me almost  minutes of sitting in my car to find the courage to enter target by myself,anxiety,it is possible that you could have or be developing an anxiety disorder there isnt really enough information provided here to suggest a particular disorder but it might be worth meeting with a counselor or therapist to do a formal assessment some of the questions they might ask could be what other kinds of physical symptoms you experience how frequently these physical symptoms happen whats going on for you when they tend to happen and how frequentlyintensely you find yourself worrying in general anxiety itself is a really natural thing  its just when it starts interfering with your ability to do life the way you want that we start to consider potential disorders it might be that for the most part the anxiety you feel is normal and you simply have some triggers that intensify it more than usual working on your own or with the support of a counselortherapist to both address those triggers at the root and also to develop ways of managing the actual anxiety symptoms this twofold approach can be really helpful for not letting anxiety keep you from engaging in life the way youd like,1,1,1093,F,0.5512363314628601
204,1923,"i know someone who is extremely sensitive to stress and very sensitive to a negative tone of voice sometimes during a disagreement he tells me that my communication is having a harmful impact on him once he believes i am being negative i cant seem to find a better way of communicating in fact it is often a self fulling prophesy because his accusatory manner becomes unbearably frustrating 

what advice might you offer",relationships,with any type of criticism it is usually best to introduce the topic at a neutral time ie when both of you are relaxed with no current stressors involved having fun etc  begin with a nonjudgmental reflective comment about a recent bothersome event as if it were just then crossing your mind therefore not something youve been consumed with ruminating over  eases the impulse for him to dive straight into defense modethen share how you felt at the time of the event  just say when i felt kind of hurt  shocked or whatever the feeling was  period  thats all you should say  wait for him to respond to your matteroffact statementno matter what his response is stick to your same message  dont get overwhelmed by trying to rephrase or explain your view as that will likely set you up for continued arguing  you can even add i agree i could have misunderstood  it event i just know it made me feel uneasyhere you give him little wiggle room for a debategood luck  id love to hear how it goes,1,1,987,F,0.8858495950698853
206,1467,my girlfriend and i have broken up and gotten back together numerous times in the past two years we recently just broke up again last night on new years eve when we break up the very next day she calls me and acts as if nothing has happened she acts like everything is alright this has been going on for two years i do love her and care about her and her children a lot but she seems really demanding as far as what she deserves from a man she is always telling me that she deserves this and that from a man it makes me feel like crap because i cannot give her everything that she wants she told me one time that she wants a man who is going to be afraid to lose her is that a normal thing that women want or should i just move on already i am in my s and she is in her s,relationships,love is not enough to keep a relationship togetherthe people need to get along happily toolets start with knowing more about your happiness in being with your partnerthe frequent break ups happen for a reason  try understanding more of why you go back together againyou state a few very clear reasons to not continue this relationship such as feeling like crap and not liking that your girlfriend hopes her  partner will feel afraid to leave hertrust your intuition telling you that these feelings mattersometimes men arent sure whether following their instinct is a right action to takeit isalso hoping a partner will fear losing them shows a wish to control a personcontrol has nothing to do with love and trust and these are basics of a relationshipgood luck,1,1,761,F,0.526930570602417
208,2607,"every time i send a message to someone or a group message on instagram imessage or snapchat people will read my messages but then they wont answer me 

could it be that there is something they dont like about me i dont understand why they wont answer my messages how do i get people to respond to me",social relationships,im sorry that you are having a difficult timei wonder about how your friendships are in person if you get along well with people and have effective conversations with them facetoface there could be some kind of technologyrelated problemhave you tried gently talking to people about how you send a message and they didnt answer if you can phrase it in such a way that they recognize that you are asking for information and not blaming them for not answering you that could be effectiveid also encourage you to consider how much this is bothering you if it is causing a significant amount of anxiety say more than  if  is really anxious i would suggest talking with a local therapistin the meantime consider talking about this with someone you trust to whom you can get more details to get a more specific answer,1,1,810,F,0.9200109839439392
209,1090,she has lied about every aspect of her life shes created three fake relationships the most recent one is concerning because she has fake photos phone calls and text messages and its with a married man with kids her lying is becoming dangerous because she could ruin lives,intimacy,is being friends with this person safe for youliars dont generally distinguish who they bring down with them or in service to themselvesstep one is to understand a true friendship which is based on trust is probably not possible with this personif youd like to offer words of advice to protect her from herself then try gently pointing out that some of her actions which you know about may come around to harm herthere is only a small chance she will be open to hearing youpeople who lie are also very fearful of trusting others including themselves  she may prefer to keep status quo than open her own emotional pain to understand what created the need to lie in the first place,1,1,679,F,0.6720659136772156
210,1276,for the past week or so me and my boyfriend have been fighting he has been making a lot of bad choices and he is currently hospitalized im barely eating or sleeping because im constantly worried about him everyone else in my life says that i should just forget about him and walk away what should i do,familyconflict,forgetting ones emotions is impossiblesince you are in a relationship with this guy your emotions keep your feelings active toward himdoes he respect your upset with his lifestyle choicesare the two of you having conversations about your opinions on himyoure as entitled to dislike what he does as he is to like what he doessince youre together in a relationship respect for the others values and how best to live life mattershe may be as unhappy about your dislike for his lifestyle as you are with histry to know whether hes willing to change to accommodate youstudy whether youre willing to change to accept his wayssee whether the two sides are close enough to be different from one another and still be happy togetherthen if the answer is no you can consider to separate from him and your emotions gradually will recuperate from leaving the relationship,1,1,858,F,0.904095470905304
212,994,i get an uncontrollable swallowing that is repetitive and then somewhat out of body feeling that lasts no more than a minute or two it usually happens in bed at night but i occasionally experience this during the day i have a benign brain tumor but the doctor said it is not associated with this,sleepimprovement,im not entirely sure whether this relates to something in the mental health realm or if there is something else happening i know you said that your doctor said it is not related to your physical condition but have you tried speaking with your primary care physician ive seen people with many different symptoms that end up being related to acid reflux or something of that nature as far as the out of body experience there are different stages of sleep so if this is happening in the middle of the night and you are waking up from a dream you may not be fully awake when its going on these are just some thoughts but i think talking to your primary care physician would be a great place to start,1,1,695,F,0.8639913201332092
213,1492,we have been fighting a lot and have  kids but we both want to stay together i need some help to save our family,relationships,hello i do not live in the california area however perhaps i could make some suggestions as to where you might look for free counseling first i must mention that most insurances now cover for many different types of issues including family issues if your girlfriend lives with you most insurances now cover livein partners as well if you have insurance contact your policy provider and ask whether or not couples counseling is includedaside from insurance the next place that comes to mind is a religious affiliation do you belong to a church or other religious organization many of the pastors or leaders in these disciplines have significant training in counseling as well as assisting with marriage and couples counseling these services are ordinarily offered free of charge to membersanother option might be to explore support groups within the area there may be a group in the form of a couples support group that brings couples together to explore their relationships in the safety of the group if you find there are no such groups in your area there are anonymous support groups online here is one such site httprelationshipsupportgroupscom,1,1,1147,F,0.8553494215011597
216,280,i have friends family i live in a good home i go to a nice high school and i get pretty good grades but i dont know why im so unhappy these friends are my best friends and theyre all amazing people and yet im sad all the time and feel alone,depression,i wonder if you have moments where you feel happyyou say you have amazing friends i wonder if you get along with them and feel as though you can be yourself around themsometimes we put a lot of pressure on ourselves to do really well at everything all the time and this can be overwhelming sometimes where do you have support i hope you can tell someone that you are feeling sad so that you can talk about your feelingssleeping can make a big difference as far as feeling sad as well if youre not sleeping well at night that could be a big part of feeling sad a lotperhaps you could try to find a person or two who makes you feel totally safe and comfortable and try to talk with them,1,1,684,F,0.9741551876068116
217,474,i shake and have panic attacks,anxiety,one way to understand panic attacks is as a sign of feeling insecure or lacking confidence in a certain area or characteristic of yourselfthe insecurity can sometimes feel overwhelming and this starts the sense of panic one way to build your sense of security within yourself is to have a simple life and a slow paced life   when there are many activities or involvements to pay attention then it is easy to not give full attention to all of them  this may trigger a sense of insecurity since in fact you may not have had sufficient time to study and know your own opinion about all of what your life is immersed ina simpler life of fewer activities allows more time to know and understand your own inner feelings and reactionsto know more about yourself may help build your confidence and security in your ability to know and live what goes on in your life,1,1,857,F,0.5424624085426331
