,questionText,topics,re_diagnosis,clean_answer_text
556,i terminated my counseling relationship with a social worker several years ago i am now realizing that i would like to begin counseling again  the social workers voicemail message says that he returns calls in  hours but he hasnt called me back i called him on the weekend and made it clear that i want him to call me back  can he just ignore me,legal  regulatoryprofessional ethics,anxiety disorders,yes your former social worker should return your phone callit is the professional ethic to do so and plain human decency to do soif he doesnt there is nothing you can directly do about the fact of his ignoring youthere are formal complaints you can make which you can consider doingwhat matters most is receiving social work servicestick with looking for another social worker who is willing to help youthe selfdoubts you mention may be worth examiningthey do not however excuse the social worker mishandling himself
557,my longterm girlfriend broke up with me recently she says its because of my anger,anger management,anxiety disorders,i need help controlling my angeranger is like a blanket that contains other emotion from bursting out and serves as a shield to protect us when we are not able to manage external issues   anger also helps us understand that theres something wrong that needs to change  once we understand that something else caused us to feel angry then we can explore the source of anger ask yourself why am angry am i hurt disappointed confused embarrassed etc  once you find the answer explore how often that happens and whats your reaction  then explore how else you could respond or react  you could use istatements as a way to communicate your true feelings to your girlfriend or whoever is involved in the scenario  this is a good exercise to practice with your counselor or mental health provider because many unresolved issues may arise during this exploration especially if you have been angry for a long timealso it is important to understand the difference between anger and aggression and learn to manage our anger before we act on it  anger is a feeling aggression is when you act out your anger physically verbally and psychologically  find ways to vent crying or sweating will help to release your anger and balance the chemical response that our body creates when you become angry  physical activity and meditation exercises can also provide a break when you manage strong emotionsnecesito ayuda para controlar mi corajeel coraje es como una manta que cubre otras emociones evitando que se desborden y sirve como un escudo que nos protege cuando no podemos manejar problemas externos  el coraje también nos ayudo a entender que hay algo mal que debemos cambiar  cuando entendemos que algo mas causo el coraje entonces podemos explorar la fuentepregúntate a ti mismo por qué tengo coraje estoy herido decepcionado confundido avergonzado etc  ya que encuentres la respuesta explora cuan frecuente tienes esa reacción  luego explora como puedes reaccionar en otra ocasión  puedes usar expresiones del yo para comunicar tus verdaderos sentimientos a la persona envuelta en la situación  esto es un buen ejercicio para practicar con tu consejero o profesional de la salud mental ya que otros conflictos sin resolver pueden surgir durante este proceso de exploracióntambién es importante entender la diferencia entre el coraje y la agresión y aprender a manejar el coraje antes que actuemos  el coraje es un sentimiento y la agresión es cuando expresas tu coraje agrediendo a alguien física emocional o sicológicamente  encuentra maneras de desagotare llorar o sudar te pueden ayudar en este proceso al balancear la respuesta química que crea el cuerpo cuando estamos molestos  el la actividad física y la meditación también pueden ayudarte a relajarte y tomar un descanso cuando manejas emociones fuertes
558,"how do i ever trust another woman i have found myself constantly reading between the lines with every other woman that i meet i am having a difficult time making any sort of connection to anyone because of her deception and willingness to say and do literally anything in order to control my emotions
once the relationship was over she became extremely abusive and has attempted to intimidate me into silence regarding the many false claims made on her immigration application",marriagefamily conflictprofessional ethicslegal  regulatory,anxiety disorders,im sorry to hear about that situation if the woman was your therapist or had been at one time this could represent a significant ethical violation when she created a dual relationship with youeven if you were not her client this might still be an ethical violation counselors are held to a high standard of conduct and honesty at all timesin a situation like this you might consider filing a complaint with the state regulatory board
559,can a counselor take sides with one parent and allow a parent to order the child to tell the counselor every detail about what happened during the other parents visitation in order to help build a case for child custody,relationshipsprofessional ethicsparentinglegal  regulatory,anxiety disorders,"i see a few issues herefirst the age of the child is important  if the child is considered an
adult by state law with regard to counseling states differ on this
 the range is typically between age  and age  no one is allowed to
be in the session without the childs consentsecond ethical and legal standards generally require that a
counselor be in the role of a therapist or in the role of an evaluator but
not both  this means that a counselor
should not generally provide both counseling and offer an opinion regarding who should
have custody of a childthird knowing the details of any parenting plan or
separation agreement is important 
generally either parent can consent to counseling for a minor child and
can be present during the childs sessions 
if a court order parenting plan or separation agreement specifies that
one of the parents has sole decision making authority then only that parent can
consent to counseling for the minor child and only that parent can be present during the childs
sessionsin a situation like this i would strongly recommend seeking
out legal advice specific to your state law"
560,i terminated my counseling relationship with a social worker several years ago i am now realizing that i would like to begin counseling again  the social workers voicemail message says that he returns calls in  hours but he hasnt called me back i called him on the weekend and made it clear that i want him to call me back  can he just ignore me,legal  regulatoryprofessional ethics,anxiety disorders,mental health providers should promptly return calls from current clients as well as from potential clients  this is even true if the social worker or counselor is unable to make an appointment with the caller  in that case the social worker should call you back to let you know that he is unable to schedule an appointment with youin addition mental health providers have an obligation to follow through with their own communication standards  for example if the social worker in this case has an outgoing voicemail message that promises returned calls within  hours he has an obligation to follow through on that promiseall that being said it is also worth remembering that mental health professionals are just people too it is possible that he had an unforeseen emergency that kept him from from returning your call promptlyin the end i agree with sherrys advice if you feel this social worker is not a good fit for you you probably should trust your gut and find someone else who is a better fit
561,i always feel the need to impress people whether its my family the people at school or just random people i know that no matter what i do or how i change there will always be some people who hate me  why do i feel this way,selfesteem,mood disorders,it is normal to seek others attention and noticing that some people would not be interested  after all we belong to a social environment where we constantly receive others feedback which at times validates us makes feel important and useful like we belong but also at times makes us feel isolated different and neglected which we could interpret as hatethe key is to be aware of what you think about what people think of you   got it  this part can be tricky at times because what others think about us does not really affect us what really affects us is what we decide to believe internalize and make our reality  for example i could choose to ignore a persons comment about me or i could decide to focus on it all day analyze why they said that and what have i done to them to get to that conclusion  eventually since we became so focused on that thought we may end up believing that what the other person said about us was true even if we did not agree to begin withso how can we fix this  awareness is the key  it is important that you understand the way you internalize external inputs like comments and to go through a process of discarding negative ones  it is also helpful to talk to your counselor about how you process feedback and validation so you learn to balance your positive traits from negatives and how that affects your relationships and selfesteemcómo me puede importar menos lo que la gente piensasiempre siento la necesidad de impresionar a otros ya sea mi familia la gente de la escuela o extraños  y sé que no importa lo que haga o cuanto haga siempre habrá personas que me odian  por qué me siento asíes común que busquemos la atención de otros y notemos que algunas personas no están interesadas  después de todo pertenecemos a un ambiente social donde constantemente recibimos comentarios que a veces nos validan alagan y nos hacen sentir como parte importante y funcional de la sociedad pero en otros momentos nos hacen sentir aislados ignorados y diferentes lo cual lo pudiéramos interpretar como odiola clave es estar conscientes de lo que pensamos que los otros piensan de nosotros me sigues  esta parte puede ser algo confusa porque lo que piensan otras personas de nosotros no nos afecta directamente lo que si nos afecta es lo que decidimos creer que otras personas piensan de nosotros y luego lo internalizamos y hacemos parte de nuestra vida  por ejemplo  podemos decidir ignorar lo que una persona dice de nosotros o podemos decidir enfocarnos en ello todo el día analizando en detalle porque lo dijeron y que hemos hecho para hacer que ellos piensen así eventualmente nos enfocamos tanto en ese pensamiento que terminamos creyendo que es verdad aun cuando originalmente no lo creíamos asíentonces como lo arreglamos la clave es concientización  es importante entender la manera en que internalizamos las opiniones de otros y que pasemos por un proceso de discriminación donde descartemos los comentarios negativos hasta que aprendamos a ignorarlos también ayudaría hablar con un consejero sobre como internamente validas y descartas los comentarios y opiniones externas y como eso puede estar afectando tus relaciones y tu autoestima
562,when my boyfriend gets in a snit he gives me the silent treatment for days when i ask what is wrong i get nothing no reply no phone call if he does reply it is something very sarcastic and hurtful he never admits he is wrong and never apologizes,relationshipsintimacy,mood disorders,you are in an abusive relationshipnot because of your boyfriends silences but because he is comfortable being sarcastic and hurtful never admits he is wrong and never apologizes it is your choice to participate in an abusive relationship you can not stop an abusive partner from being abusive no matter how wonderfully you treat your partner you can either accept the terrible relationship as it is or reach out for the support that you need to leave the abusive relationship i wish you well always
563,i was the one who ended it and im so glad i did it was the best decision i made in my life but how do i stop the nightmares and flashbacks it is creating a wall in my current relationship,traumarelationships,mood disorders,your challenge is called codependency people seek approval from others in an obsessive way when they are failing to truly accept themselves i encourage you to truly love yourself and know that you have every right to every sensation emotion thought and inspiration that you may have best of luck on your journey
564,im a guy if i dont like girls nor do i like guys does that mean im gay,lgbtq,anxiety disorders,no it does not necessarily  your sexual preference is based on who you are attracted to not what does not turn you on  if you find you have no sex drive at all this is called asexual  but you did not mention what you do find arrousing either  hope this helps
565,im fine when we start becoming intimate but out of nowhere i will get a flashback of what happened to me in the past i start hysterically crying and freaking out when my boyfriend obviously has done nothing to hurt me,intimacytrauma,mood disorders,have you sought the support of a therapist really qualified in working through sexual trauma it can take some work but healing is possible if you feel able to it may also help to open a dialogue with your boyfriend about what you need from him when you have these flashbacks let him know what some helpful responses may be
566,i blame my past relationship for it i know it is bad to be this way i want to get past it,relationships,anxiety disorders,we humans are social beings we learn how to be in relationship as children the caregiving you received or didnt receive set the stage for how you show up in all your adult relationships insecurity in relationships often has much to do with feeling unheard or unseen perhaps feeling like you dont matter there are many ways to rewire these relational patterns the first step of which is taking pause and noticing that you are feeling insecure  so congrats on that because clearly you are already there  next id suggest finding a relationship therapist to help you sort through your insecurities either as a couple or individually
567,i was the one who ended it and im so glad i did it was the best decision i made in my life but how do i stop the nightmares and flashbacks it is creating a wall in my current relationship,traumarelationships,mood disorders,from what you describe about yourself i agree with you that ending your former relationship was a very wise decisionthe nightmares and flashbacks show that you were deeply affected emotionally and on the foundations of your basic naturethe way for these to stop is by the slow process of realizing how badly injured and frightened you were of your former partneronce youve stabilized yourself by accepting the tremendous harshness that was part of the former relationship then the nightmares and flashbacks will disappear gradually usually maybe all at oncethere is a possibility too that your former relationship connected with being emotionally ignored abandoned treated harshly during your time of growing up yearssince generally people choose partners who relate similarly to the ways in which they felt treated by parents it is possible that you had been badly treated while growing up and werent aware of this until going through this terrible relationshipcongratulations on ending your relationship
568,i blame my past relationship for it i know it is bad to be this way i want to get past it,relationships,anxiety disorders,how did you come to the conclusion that you are acting needyis this what your partner told you or are you feeling this way about yourselfthe difference is that what youd like from a relationship may be very reasonable only that your partner is not someone who wants to meet your needsone way of evaluating whether youre actually needy is whether you feel that you give yourself love take good care of yourself when youre in situations that are not connected to being part of a coupleif being by yourself feels uneasy most of the time then probably practicing selflove consciously treating yourself with consideration and thoughtfulness may help you feel less needy of othersthis way when youre with a partner the time together will be in enjoying the partner not getting love because of not figuring out a way of giving love to yourself
569,i have been dealing with depression and anxiety for a number of years i have been on medication but lately my depression has felt worse can counseling help,anxietydepression,anxiety disorders,"certainly counselling can help however there is a caveat namely you will need the right counsellor with the right approach this leads to two questions  what are the identifiers for the right counsellor and  what is the right approach what are the identifiers for the right counsellor the right counsellor will almost certainly have a lot of experience he or she will have done a lot personal work and have an ongoing practice of inner work both on their own and with the support of an experienced therapist this person will be viewing you as a human being with challenges not as a diagnostic category he or she will be willing to work with you over an extended period of time and have experience doing such work further they will be well versed in approaches that are responsive to you in the moment and overall the indepth work will be collaborativel designed in an ongoing way that is responsive to you the moment your overall life experience and their inthemoment experience it goes without saying that you will subjectively evaluate the felt sense of connection with this person and the feeling that they are invested in their work with you value you as a human being and value the connection as well it is crucial that you feel this connection and that your therapist gets you  what is the right approach  as carl jung stated when the doctor sits down with the patient he or 
she must drop all theories and learn the theory of this person the approach must include a bond between you and your therapist that is in a continuous process of development attention to preverbal imprinting development of awareness ability ongoing development of the ability to attend to and stay with inner experience development of a process orientation attention to egoic structures that were seeded from the earliest days in the service of perceptions of threats to needs being met identification of current egoic states and work with these inner selves and their relationship with each other to facilitate movement from developmental points of arrest increased ability to access and contain nonordinary states of consciousness attending to what is and working with this in the service of moving towards optimal human developmentdepression is generally experienced as the system shutting down anxiety is a signal that something is wrong anxiety is not the problem it is a sign that there is a problem the core of these issues is a lack of inner security that is the outcome of insufficient bonding the work of psychotherapy is to establish an environment and relationship that will facilitate work with the bonding ruptures and reinitiation of the developmental process that stopped at an early stage"
570,i have ptsd from childhood events and other traumas as an adult i have panic attacks nightmares anger and at times depression i feel like im always on the edge or just apathetic  can i fix this by myself,trauma,mood disorders,when it comes to trauma especially in the event that it has caused you to develop ptsd there can be a lot of difficulty in attempting to resolve these issues on your own simply because of how strong your urge to avoid it whenever thoughts of the traumatic experience come up ptsd is best treated with the help of a mental health professional and if using the cognitive processing approach can be treated in as few as  weeks as for your other concerns many of these can be treated independently if you have the motivation to manage your way through panic attacks and depression specifically often respond well to selfhelp treatment manuals the centre for clinical interventions is a great online resource for workbooks to help you learn to manage the depression and panic attacks whether you decide to work through these concerns on your own or in professional therapy just know that your panic attacks must be managed prior to addressing your trauma hope this is helpful and if you have any other questions dont hesitate to ask
571,i was the one who ended it and im so glad i did it was the best decision i made in my life but how do i stop the nightmares and flashbacks it is creating a wall in my current relationship,traumarelationships,mood disorders,a lot of times when youre experiencing nightmares and flashbacks it can be a sign that you havent fully processed what happened our brains tend to replay scenes in our life that we wish had turned out differently or  in an effort to desensitize us to it  if you are comfortable with it you may want to consider sharing what youre experiencing with your current partner so that he is able to understand whats going on also you may want to consider  what parts of your past relationship you blame yourself for this can be a difficult task to undertake on your own and the help of the therapist may be necessary to sort through the memories in a safe way  typically however flashbacks and nightmares are a sign that the trauma  of what you went through needs to be addressed  its a great thing that you were able to have the courage to get out of that relationship and you should be proud of yourself for that  you may want to  begin therapy to address these traumatic memories and help you to sort through any conflicting emotions you have about it ie  feeling like its your fault for not recognizing the abuse or getting out of the relationship sooner blaming yourself for being   the kind of person who gets into an abusive relationship   or believing that you somehow caused your ex to abuse you in some way  these types of beliefs and feelings can prevent us from moving past traumatic experiences and a trained therapist can certainly help you sort through them
572,when my boyfriend gets in a snit he gives me the silent treatment for days when i ask what is wrong i get nothing no reply no phone call if he does reply it is something very sarcastic and hurtful he never admits he is wrong and never apologizes,relationshipsintimacy,mood disorders,this sounds very hurtful for you to be on the receiving end of this you can ask yourself  what am i learning from the way i am being treated   and consider whether or not this is in fact either   a message or value that you agree with and believe will strengthen your relationship and help you to grow as a person or   a message or value that is damaging to the relationship or  to your view of your self and others  once youve considered that and come to your own conclusion you will likely know what you need to do  if youre still stuck you may want to consider seeing an individual therapist for yourself  to process your feelings about the relationship or a couples therapist with your partner to work on improving your communication with each other
573,im fine when we start becoming intimate but out of nowhere i will get a flashback of what happened to me in the past i start hysterically crying and freaking out when my boyfriend obviously has done nothing to hurt me,intimacytrauma,mood disorders,sexual intimacy can be very triggering for survivors even when it is both wanted and consensual  you may want to consider seeing a therapist who specializes in trauma to work through the abuse if you have not already done so often times triggers still hold such a powerful effect when the emotions related to the abuse  have not been fully processed  in the meantime you may want to consider coming up with a safe word to let your partner know that you are being triggered or to communicate your physical boundaries to him  often times the experience of communicating  your physical boundaries to your partner having those boundaries respected and validated and having a partner who is understanding and  willing to engage in intimacy in such a way that does not violate your physical boundaries  can reinforce a sense of safety with him
574,i have been dealing with depression and anxiety for a number of years i have been on medication but lately my depression has felt worse can counseling help,anxietydepression,anxiety disorders,my initial response  consider a more comprehensive mh assessment to determine other factors a medical evaluation is warranted to rule out poor health issues blood work is helpful review what hadnt helped
575,i was the one who ended it and im so glad i did it was the best decision i made in my life but how do i stop the nightmares and flashbacks it is creating a wall in my current relationship,traumarelationships,mood disorders,ending an abusive relationship is often very difficult especially if you were very close initially without the presence of abuse  if the abuse included verbal or psychological condemnation you will often have a negative selfimage that you may know is not true but often feels very true this negative selfimage and fear of being abused again can activate protections in you that were needed at the time you were abused but now create a wall in your current relationship  the fact that you were able to end the relationship and know that you made the right decision is a great acknowledgement that you have solid internal resources to draw upon in healing from the abuse  good for younightmares and flashbacks are a strong sign of memories including associated beliefs emotions and physical sensations that have remained unprocessed and therefore unhealed  there are likely reminders called triggers of the past abuse that are being activated in your current relationship that are allowing these unhealed memories to come to the surface and affect both your sleep and your waking experiences  this is certainly not something you are purposefully doing but is the result of what happened to you  however you likely feel as if you are not in control    the goal is protect your current relationship evaluate your selfimage for flaws in beliefs and feelings and begin working on healing your memories of abuse in many cases my use of emdr eye movement desensitization and reprocessing would be helpful in reducing the emotional strength of your abuse memories reduce or eliminate triggers bring healing and allow you to enjoy being in the present with your current relationship  i would recommend discussing with your current partner your harmful past experiences your decision to pursue counseling and your strong desire to be healthy for your current relationship  with a good support network in place healing is very possible
576,my mother and i have an okay relationship i know she loves me unconditionally and i love her the same however more times than not im afraid to tell her anything personal because she either doesnt listen she turns it around and makes everything about her or she ignores things  even when they are about my mental health,family conflict,mood disorders,could you tell her   what would happen if you said mom i love you and i really want to share myself with you but often i you get upset and i dont want that to happen i really want to be able to talk to you
577,im a guy if i dont like girls nor do i like guys does that mean im gay,lgbtq,anxiety disorders,it doesnt sound like you are finding yourself attracted to anyone  it could mean that you just havent connected with anyone you find attractive or that you are asexual  essentially not oriented toward anyone  i would suggest doing some reading on asexuality and see if it connects to how you feel
578,i was the one who ended it and im so glad i did it was the best decision i made in my life but how do i stop the nightmares and flashbacks it is creating a wall in my current relationship,traumarelationships,mood disorders,emdr therapy has shown great results for work with ptsd symptoms which are similar to what you described if you are unable to find a local emdr specialist then i would suggest some meditation and journaling in addition to talk therapy to process your trauma your anxiety response centers int he brain are in hyper vigilance mode and retraining to turn down that response could be helpful for you
579,i have been having a lot of nightmares where i am being killed in different ways i either wake up in a panic or just crying and sweating it has made me terrified of falling asleep and is now affecting my daily life too  can i make the nightmares stop,sleep improvementanxiety,anxiety disorders,hello and thank you for your question sleep problems including insomnia and even the nightmares that you are writing about are really common for people and so many people suffer from them here are a few things to consider or to try  have you changed or started taking any new medication lately medications can certainly affect your sleep and some can even cause vivid or frightening dreams if you are taking a new medication talk to your provider about the nightmares this may be the cause  stress can certainly increase our difficulty with sleep and can also begin to affect our dream states the dreams may not make much sense but then again even good dreams dont always make much sense ask yourself do i have any new or renewed stressors in my life work school relationships health all of these areas and many more are places where stress can hide out if this is the case talk with your provider or consider seeing a counselor who may be able to help  something to consider is that once we start to have anxiety or stress about something we can begin to obsess about it my guess is that going to bed for sleep is no longer a pleasant thing for you your stress and fear of what may happen when you sleep could start way before you actually go to bed this could increase your chances of having another bad dream try relaxation techniques before going to bed if you have youtube you can pull up guided meditation for sleep exercises to help you relax there are many different ones to choose from you may also want to try deep breathing there are selfhelp ideas for managing bad nightmares if you google search nightmare rescripting or nightmare exposure you may find some ideas and instructions on how to manage dreams i hope these ideas help be well robin j landwehr dbh lpc ncc
580,i am a survivor of domestic violence from a past relationship even after seven years i still have horrible nightmares i wake up in sweat and the dreams feel so real,domestic violencesleep improvement,anxiety disorders,hello and thank you for your question first things first i am so glad that you are alive and very sorry that you had to endure such a terrible experience now lets talk about these nightmares the first thing i want to tell you is that you are not losing your mind many people start to think that may be the case if they are still suffering from the affects of something that happened a long time ago thats not the case there is no time set time for which we should be over something like this i am not sure if you received counseling after what happened to you but that may be something to consider bad nightmares could be the sign of something like post traumatic stress disorder ptsd which would include other symptoms like being startled easily reexperiencing the event or avoiding places that remind you of it there are other symptoms as well so if you believe this may be something you have you may want to seek counseling there are good treatments for ptsd if you cannot seek counseling at this time there are some things you can do to try to manage the dreams on your own i would encourage you to look up sleepy hygiene and try to make your bedtime rituals as relaxing as possible you can also google search nightmare rescripting or nightmare exposure and get some ideas on how you may be able to change your dreams it may be a good idea to attend a domestic violence support group and get ideas from other survivors who no doubt have had sleep problems related to their experiences too hope this was helpful be well robin j landwehr dbh lpc ncc
581,i am a survivor of domestic violence from a past relationship even after seven years i still have horrible nightmares i wake up in sweat and the dreams feel so real,domestic violencesleep improvement,anxiety disorders,nightmare are actually very common for survivors of domestic violence if they are affecting you the the point where you feel like you need to do something you may want to consider processing your memories of the events with a trained trauma therapist another good option may be to attend a support group for survivors where you could process your memories in a safe space where others will be able to provide support and understanding for what you went through as well as encouragement for the strength it took you to get out of that relationship you may also want to consider completing a screening or assessment to rule out posttraumatic stress disorder as well
582,i feel angry anxious and depressed the ptsd i suffer is from a past relationship,traumadepressionanxiety,anxiety disorders,if the symptoms are to the extent that they are affecting your ability to function you may want to consider seeking treatment ptsd anxiety and depression all typically respond well to treatment if provided by a trained clinician common types of treatment for ptsd that you may want to look into include cognitive processing therapy or emdr the nice things about cognitive processing therapy is that it is time limited and only lasts  sessions typically
583,is this something i should be worried about  should i do something about it,parenting,anxiety disorders,it can be tricky to figure out if a child is truly satisfied with his lack of friendships parents can usually tell when their child is happy but kids who are unhappy may be masking disappointment perhaps acting out their feelings in an aggressive manner others may internalize symptoms appearing sad or withdrawn a parent may learn a great deal by asking the teachers questions such as whether the child works with others on group projects or if he eats lunch alone a parent can also talk with the recess supervisor about what happens on the playground and whether your child stays on the sidelines of play unsure of how to join the group therespectfully is a difference between kids who are shy but happy and kids who feel isolated because they do not know how to make friends itis not necessarily that there is something wrong with that child but they will in fact need help and suggestions for breaking into a peer group ask a child if there is someone he would like to have over to play if a mom or dad can make the play dates happen or if they hit on an activity the child truly enjoys the young person may begin to forge friendships on their own i encourage wellmeaning parents to choose words carefully use phrases like hey i noticed something or let me help you be successful by showing respect parents should feel more comfortable nudging their children beyond their comfort zonewhen to seek professional help when does isolation raise a red flag for longterm issues true personality disorders are not typically diagnosed until adulthood still professional counseling should be considered if the antisocial behavior is causing the child significant distress perhaps keeping him from functioning in everyday activities also parents should pay attention to how the childs social behavior changes over time such as social anxiety the vast majority of children who define quality time as time alone are perfectly happy healthy and normal if the child is able to nurture at least one friendship exhibiting what experts call social reciprocity then parents can relax and can cherish that child who enjoys the pleasure of his or her own company
584,i recently lost a friend to suicide  im smoking marijuana and drinking more to cope with it how can i handle this better,grief and losssubstance abusetrauma,mood disorders,first of all i am very sorry for your loss and i can understand the urge to drink and smoke to try and cope as im sure you understand alcohol and marijuana may take the edge off of the pain in the short run but in the long run they may prevent you from being able to work through the thoughts and feelings that you have about the loss of your friend grieving is a process that is unique to each individual and each relationship that may involve difficult confusing and even contradictory seeming thoughts and feelings and a competent therapist can help you work through this process it also may be useful for you to add other ways of coping such as taking care of yourself through exercise doing healthy activities that you love and spending time with people that you love self care is often most difficult when we need it the most thank you for reaching out
585,"im always told im not good enough or trying hard enough i put  in to every thing im worn out ive worked on all of my family relationships im doing great in school im kind to those in need and otherwise i stick to my religious beliefs and leave room for mistakes and learn from others so i dont have to make as many and the ones i do i learn from 
somehow its still not good enough and nothing i do works nothing has changed and i feel hopeless any suggestions or ideas",family conflictselfesteem,mood disorders,it sounds like you are aware of your positive traits but you are struggling with someone who does not acknowledge nor celebrate your efforts or achievements   it seems like that is affecting your inner voice which allows you to accept yourself for who you aremy suggestion is to explore that relationship and decide if that persons opinion should determine how you feel about yourself   if this is an important relationship you could communicate to this person how the lack of positive feedback is affecting you  then work on spending more time with those who value you and can give you praise encouragement and constructive criticism  also explore your religious beliefs and what is they say about who you are as a person  finally explore with a counselor your inner voice and try to figure out if the negative message is settling in and harming your selfesteem   through therapy you could learn to selfcompassion and acceptance wich will help your self esteemcómo manejo el sentirme que no soy suficiente buenosiempre me dicen que no soy suficientemente bueno o no trato lo suficiente  yo pongo el  en todo  estoy agotado he trabajado en todas mis relaciones estoy muy bien en la escuela trato bien a las personas que lo necesitan  me aferro a mis creencias religiosas y dejo espacio para los errores y aprendo de otros para no tener que cometer los mismos  aun así no soy suficiente y nada de lo que hago funciona me siento desesperanzado  alguna idea o sugerenciaal parecer estas consiente de tus características positivas pero estás teniendo  dificultad con alguien que no reconoce tus esfuerzos ni logros y eso está afectando esa voz interior que te permite aceptar quien eresmi sugerencia es que explores esa relación y analices si la opinión de esta persona va a determinar cómo te valoras a ti mismo  si es una relación valiosa puedes comunicarle a la persona en cuestión como te afecta la falta de comentarios y opiniones positivas   luego enfócate en pasar más tiempo con personas que te valoran te dan halagos te motivan y te aconsejan  también explora que dice tu religión sobre quién eres como persona y cuál es tu valor  y por último explora con tu consejero si ese mensaje negativo esta afectando tu autoestima  a través de la terapia puedes aprender tecnicas auto compasión y aceptación que ayudaran a fortalecerte
586,i recently lost a friend to suicide  im smoking marijuana and drinking more to cope with it how can i handle this better,grief and losssubstance abusetrauma,mood disorders,im so sorry to hear about your recent loss  there is such a large feeling of uncertainty that befalls those of us left to sort through these emotions of such a loss and its never easy  i think its important to remember that there is no right or wrong way to deal with loss and the best way for you may not be the best way for someone else  the fact that you are aware that you are smoking more marijuana and drinking more and the fact that you can recognize that these may not be the best coping techniques is a very good step towards giving yourself some better support at this time  marijuana and drinking are type of coping techniques that can numb us to our emotions but they do not really help us to work through those emotions when it comes to grief often one of the most helpful ways to move through the phases of grief is to use your social supports talk to your friends and family see your mutual friends and commiserate with each other on the loss and the uncertainty  the more we talk about our feelings the more we are okay with them being ours the more we express our loss the better we become at accepting such a loss in talking with your supports you may also decide ways in which you may want to remember your friend ways you can do so on a personal level writing a poem planting a tree etc or ways you as a group can remember and memorialize them a special day where you get together to share your memories starting a charity etc we never truly get over our losses but we can learnt o accept the losses and what it means to us nowbut that also takes time
587,i recently lost a friend to suicide  im smoking marijuana and drinking more to cope with it how can i handle this better,grief and losssubstance abusetrauma,mood disorders,let me begin by offering my condolences for your loss i can understand how difficult this time maybe for you especially if you have several unanswered the questions due to the circumstances surrounding the death of your friend  its during this time that you may experience the various stages of grief this includes denial anger bargaining depression and finally acceptance in the bereavement process there is so specific time frame or lengths of time for someone to work through each step its imperative to note  that one may express each stage with different levels of intensity also the five stages do not necessarily occur in any specific order we often move between stages before achieving a more peaceful acceptance of death just note that everyone greives differently some internalize their feelings and emotions others express it externally while other avoid it all togethercoping with loss is ultimately a deeply personal and singular experience sometimes we feel that no one understands what we are feeling or going through much less comprehend our emotional state of mind  whats important is that you allow others to comfort you through the various stages my recommendation is to allow yourself to go through the emotions and feel the grief avoiding or resisting may only delay the healing process reaching the acceptance stage of mourning is a gift not not everyone is awarded but seeking the help of a grief counselor may assist in deciphering your emotions and set you on a more positive path to achieve closer
588,its been like a couple of years that ive been feeling like this i dont want to selfdiagnose but i get so sad and cry and then i feel better but then i get upset with people so quickly and i hurt their feelings its this constant rollercoaster and its hard,behavioral change,anxiety disorders,hello and thank you for your question bipolar disorder is generally characterized by extreme changes in mood ranging from mania highs to depression lows there are different types however so here is a website that gives you a list of symptoms for mania and depression in bipolar disorder httpwwwwebmdcomdepressionguidebipolardisordermanicdepressionpageafter reviewing these symptoms if you believe you may have bipolar disorder then you may want to see your primary care provider or a counselor bipolar disorder is treatable but for many people it requires the right medication and sometimes counseling to help people make behavior changes that are important for bipolar management for example some people may not get regular sleep but proper rest is important for bipolar management a counselor may talk to you about this and other lifestyle changes that you may need to make the good news is that many people live happy healthy and productive lives with bipolar disorder so if it turns out that you do have bipolar disorder it doesnt mean that things cant get better there is currently no cure for bipolar disorder but with proper medication and lifestyle management people can do quite wellhope this was helpful be wellrobin j landwehr dbh lpc ncc
